Title,Year,Km,Power,Fuel Type,Price,Link
Dacia Logan,2008,209000,75,Benzina+GPL,3 250EUR,https://www.autovit.ro/autoturisme/anunt/dacia-logan-ID7HluR9.html
Volkswagen Passat Variant 1.9 TDI Comfortline,2005,259332,105,Diesel,3 250EUR,https://www.autovit.ro/autoturisme/anunt/volkswagen-passat-variant-1-9-tdi-comfortline-ID7HrKuO.html
Dacia Logan 1.2 75CP Laureate,2012,163414,75,Benzina,3 250EUR,https://www.autovit.ro/autoturisme/anunt/dacia-logan-1-2-75cp-laureate-ID7HryvE.html
Opel Corsa 1.3 CDTI Selection,2007,77200,75,Diesel,3 250EUR,https://www.autovit.ro/autoturisme/anunt/opel-corsa-1-3-cdti-selection-ID7HrVRB.html
Opel Astra 1.9 CDTI Edition,2008,198000,150,Diesel,3 250EUR,https://www.autovit.ro/autoturisme/anunt/opel-astra-1-9-cdti-edition-ID7Hs9et.html
Nissan Micra,2012,164000,80,Benzina,3 250EUR,https://www.autovit.ro/autoturisme/anunt/nissan-micra-ID7HrzNB.html
Dacia Sandero 1.2 16V 75 Celebration,2012,130000,75,Benzina,3 280EUR,https://www.autovit.ro/autoturisme/anunt/dacia-sandero-1-2-16v-75-celebration-ID7HogI6.html
Citroën Nemo HDi 70 Multispace,2009,289000,68,Diesel,3 280EUR,https://www.autovit.ro/autoturisme/anunt/citron-nemo-hdi-70-multispace-ID7HlHJy.html
Opel Corsa 1.3 CDTI Enjoy,2014,294000,90,Diesel,3 290EUR,https://www.autovit.ro/autoturisme/anunt/opel-corsa-1-3-cdti-enjoy-ID7HnMcg.html
Opel Corsa,2011,158416,85,Benzina,3 290EUR,https://www.autovit.ro/autoturisme/anunt/opel-corsa-ID7HoIrh.html
Skoda Octavia 2.0 TDI DPF DSG Elegance,2008,314600,140,Diesel,3 290EUR,https://www.autovit.ro/autoturisme/anunt/skoda-octavia-2-0-tdi-dpf-dsg-elegance-ID7HrzLr.html
Volkswagen Golf 1.9 TDI Sportline,2007,277000,105,Diesel,3 290EUR,https://www.autovit.ro/autoturisme/anunt/volkswagen-golf-1-9-tdi-sportline-ID7HpmTf.html
Renault Megane,2008,240000,140,Benzina,3 290EUR,https://www.autovit.ro/autoturisme/anunt/renault-megane-ID7HrU14.html
Skoda Roomster 1.4 16V,2009,182000,86,Benzina,3 290EUR,https://www.autovit.ro/autoturisme/anunt/skoda-roomster-1-4-16v-ID7HrTUo.html
Audi A4,2005,400000,190,Benzina,3 290EUR,https://www.autovit.ro/autoturisme/anunt/audi-a4-ID7Hq4gB.html
Volkswagen Golf,1994,212000,90,Benzina,3 290EUR,https://www.autovit.ro/autoturisme/anunt/volkswagen-golf-ID7Hm3D5.html
Volkswagen Eos 2.0 TDI DPF Edition 2010,2009,281000,140,Diesel,3 290EUR,https://www.autovit.ro/autoturisme/anunt/volkswagen-eos-2-0-tdi-dpf-edition-2010-ID7HrVnm.html
Volkswagen Polo,2010,179000,60,Benzina,3 290EUR,https://www.autovit.ro/autoturisme/anunt/volkswagen-polo-ID7HrVOY.html
Ford Focus 1.6 16V Trend,2009,195534,100,Benzina,3 290EUR,https://www.autovit.ro/autoturisme/anunt/ford-focus-1-6-16v-trend-ID7Hs4ZD.html
Mini Cooper One Clubman,2009,167000,95,Benzina,3 290EUR,https://www.autovit.ro/autoturisme/anunt/mini-cooper-one-clubman-ID7HrMmb.html
Ford Focus,2009,190710,115,Diesel,3 290EUR,https://www.autovit.ro/autoturisme/anunt/ford-focus-ID7Hs3V6.html
Renault Laguna 2.0 16V Turbo Aut. Dynamique,2006,138967,170,Benzina,3 290EUR,https://www.autovit.ro/autoturisme/anunt/renault-laguna-2-0-16v-turbo-aut-dynamique-ID7HntYx.html
Renault Megane II Estate 1.5 dCi Privilege,2009,237677,86,Diesel,3 290EUR,https://www.autovit.ro/autoturisme/anunt/renault-megane-ii-estate-1-5-dci-privilege-ID7Hs57J.html
Renault Laguna,2008,246000,149,Diesel,3 290EUR,https://www.autovit.ro/autoturisme/anunt/renault-laguna-ID7HpIPS.html
Mercedes-Benz C,2005,257000,122,Diesel,3 290EUR,https://www.autovit.ro/autoturisme/anunt/mercedes-benz-c-ID7Hl0Ff.html
Renault Megane II Estate 1.5 dCi Expression,2009,301017,86,Diesel,3 290EUR,https://www.autovit.ro/autoturisme/anunt/renault-megane-ii-estate-1-5-dci-expression-ID7Hs50G.html
Peugeot 207,2009,190098,95,Benzina,3 299EUR,https://www.autovit.ro/autoturisme/anunt/peugeot-207-ID7HoG4P.html
Opel Astra,2009,202500,200,Benzina,3 299EUR,https://www.autovit.ro/autoturisme/anunt/opel-astra-ID7H1zc3.html
Peugeot 207,2008,239518,90,Diesel,3 299EUR,https://www.autovit.ro/autoturisme/anunt/peugeot-207-ID7HqqQb.html
Audi A6,2006,385655,225,Diesel,3 299EUR,https://www.autovit.ro/autoturisme/anunt/audi-a6-ID7Hk5Pt.html
Ford Focus 1.6 TDCi DPF Ghia,2011,165000,109,Diesel,3 299EUR,https://www.autovit.ro/autoturisme/anunt/ford-focus-1-6-tdci-dpf-ghia-ID7Hn5Fc.html
