titles,details,prices,links
Suzuki Swift Basic,Unfallfrei • EZ 06/2015 • 152.198 km • 69 kW (94 PS) • Benzin,5.200 €,https://suchen.mobile.de/fahrzeuge/details.html?id=401830927&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=5200%3A5249&ref=srp&refId=88094e71-b69c-e5ac-6ae5-b4f03ae5ae57&s=Car&sb=rel&searchId=88094e71-b69c-e5ac-6ae5-b4f03ae5ae57&vc=Car
Opel Karl Rocks,Unfallfrei • EZ 08/2018 • 160.000 km • 54 kW (73 PS) • Benzin,5.200 €,https://suchen.mobile.de/fahrzeuge/details.html?id=401830927&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=5200%3A5249&ref=srp&refId=88094e71-b69c-e5ac-6ae5-b4f03ae5ae57&s=Car&sb=rel&searchId=88094e71-b69c-e5ac-6ae5-b4f03ae5ae57&vc=Car
Peugeot 3008 Allure 1.2 E-THP,Unfallfrei • EZ 03/2016 • 158.000 km • 96 kW (131 PS) • Benzin,5.200 €,https://suchen.mobile.de/fahrzeuge/details.html?id=401830927&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=5200%3A5249&ref=srp&refId=88094e71-b69c-e5ac-6ae5-b4f03ae5ae57&s=Car&sb=rel&searchId=88094e71-b69c-e5ac-6ae5-b4f03ae5ae57&vc=Car
Opel Zafira 1.7 CDTI ecoFLEX Family 92kW Family,Unfallfrei • EZ 06/2012 • 153.000 km • 92 kW (125 PS) • Diesel,5.200 €,https://suchen.mobile.de/fahrzeuge/details.html?id=401830927&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=5200%3A5249&ref=srp&refId=88094e71-b69c-e5ac-6ae5-b4f03ae5ae57&s=Car&sb=rel&searchId=88094e71-b69c-e5ac-6ae5-b4f03ae5ae57&vc=Car
"Cadillac SRX 3,6 Sport Luxury",Unfallfrei • EZ 06/2010 • 298.000 km • 190 kW (258 PS) • Benzin,5.200 €,https://suchen.mobile.de/fahrzeuge/details.html?id=401830927&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=5200%3A5249&ref=srp&refId=88094e71-b69c-e5ac-6ae5-b4f03ae5ae57&s=Car&sb=rel&searchId=88094e71-b69c-e5ac-6ae5-b4f03ae5ae57&vc=Car
Mazda CX-7 2.2 l MZR-CD,Unfallfrei • EZ 09/2010 • 216.000 km • 127 kW (173 PS) • Diesel,5.200 €,https://suchen.mobile.de/fahrzeuge/details.html?id=401830927&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=5200%3A5249&ref=srp&refId=88094e71-b69c-e5ac-6ae5-b4f03ae5ae57&s=Car&sb=rel&searchId=88094e71-b69c-e5ac-6ae5-b4f03ae5ae57&vc=Car
Volkswagen Golf VI Variant Trendline,Unfallfrei • EZ 12/2010 • 161.000 km • 77 kW (105 PS) • Benzin,5.200 €,https://suchen.mobile.de/fahrzeuge/details.html?id=401830927&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=5200%3A5249&ref=srp&refId=88094e71-b69c-e5ac-6ae5-b4f03ae5ae57&s=Car&sb=rel&searchId=88094e71-b69c-e5ac-6ae5-b4f03ae5ae57&vc=Car
Audi A3 1.2 TFSI Attraction,EZ 06/2012 • 165.000 km • 77 kW (105 PS) • Benzin,5.200 €,https://suchen.mobile.de/fahrzeuge/details.html?id=401830927&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=5200%3A5249&ref=srp&refId=88094e71-b69c-e5ac-6ae5-b4f03ae5ae57&s=Car&sb=rel&searchId=88094e71-b69c-e5ac-6ae5-b4f03ae5ae57&vc=Car
Hyundai i10 Classic,Unfallfrei • EZ 05/2017 • 166.000 km • 49 kW (67 PS) • Benzin,5.249 €,https://suchen.mobile.de/fahrzeuge/details.html?id=401830927&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=5200%3A5249&ref=srp&refId=88094e71-b69c-e5ac-6ae5-b4f03ae5ae57&s=Car&sb=rel&searchId=88094e71-b69c-e5ac-6ae5-b4f03ae5ae57&vc=Car
Renault Scenic III LIMITED,EZ 03/2015 • 154.000 km • 81 kW (110 PS) • Diesel,5.200 €,https://suchen.mobile.de/fahrzeuge/details.html?id=401830927&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=5200%3A5249&ref=srp&refId=88094e71-b69c-e5ac-6ae5-b4f03ae5ae57&s=Car&sb=rel&searchId=88094e71-b69c-e5ac-6ae5-b4f03ae5ae57&vc=Car
