titles,details
"BMW 116i M Paket ,Leder,4xTürer,1-Hand,GSHD,Klima,SH",Unfallfrei • EZ 11/2010 • 184.981 km • 90 kW (122 PS) • Benzin
Volkswagen Golf VII Lim. Comfortline BMT/KLIMA/SHZ/PDC,Unfallfrei • EZ 12/2016 • 150.000 km • 81 kW (110 PS) • Diesel
Volkswagen Golf Sportsvan VII Allstar BMT/Start-Stopp,Unfallfrei • EZ 04/2017 • 150.000 km • 85 kW (116 PS) • Diesel
Volkswagen Golf VII Variant BMT/Start-Stopp*LED*NAVI*PDC***,Unfallfrei • EZ 05/2017 • 150.000 km • 81 kW (110 PS) • Benzin
Opel Zafira Tourer 2.0 CDTI Sport 96kW Sport,Reparierter Unfallschaden • EZ 01/2012 • 198.000 km • 96 kW (131 PS) • Diesel
Ford Transit Custom Kasten 270 L1 Trend,Unfallfrei • EZ 10/2016 • 255.000 km • 96 kW (131 PS) • Diesel
Fiat Bravo 1.4 16V MultiAir Turbo Start&Stopp Spo...,Unfallfrei • EZ 11/2010 • 171.000 km • 103 kW (140 PS) • Benzin
Volkswagen Golf VII Variant Trendline BMT*EURO6,Unfallfrei • EZ 09/2015 • 176.896 km • 81 kW (110 PS) • Diesel
Volkswagen Golf VII Lim. Lounge BMT,EZ 04/2015 • 150.000 km • 81 kW (110 PS) • Benzin
Volkswagen Golf VII Lim. Comfortline AHK Borbet BMT,Unfallfrei • EZ 03/2014 • 150.440 km • 63 kW (86 PS) • Benzin
Volkswagen Golf VII Variant Join Start-Stopp,EZ 05/2018 • 160.000 km • 81 kW (110 PS) • Benzin
"Volkswagen Polo 1.0 TSI iQ. Drive Comfortline, Navi, Klima",EZ 03/2018 • 156.500 km • 70 kW (95 PS) • Benzin
"Volkswagen Golf VII Lim.KLIMA,NAVI,SITZHEIZUNG.",Unfallfrei • EZ 11/2015 • 150.000 km • 63 kW (86 PS) • Benzin
Volkswagen Golf VII 1.4 TSI ACT BMT ALLSTAR,Unfallfrei • EZ 06/2016 • 156.000 km • 110 kW (150 PS) • Benzin
Volkswagen Passat Lim. 1.4 TSI Trendline BMT*LED*KLIMA*PDC*,EZ 05/2015 • 150.000 km • 92 kW (125 PS) • Benzin
"Volkswagen Golf Sportsvan VII Lounge S/S AHK, Sitzheizung",Unfallfrei • EZ 09/2015 • 150.000 km • 81 kW (110 PS) • Diesel
Volkswagen Golf Sportsvan VII Sound*Start-Stopp*Navi*AHK*,EZ 05/2017 • 160.000 km • 81 kW (110 PS) • Benzin
"Volkswagen Golf VII Lim. Highline BMT""TÜV""GARANTIE""",Unfallfrei • EZ 10/2013 • 150.000 km • 90 kW (122 PS) • Benzin
